City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Ponta Delgada,PT,37.7333,-25.6667,65.12,77,75,4.61,broken clouds
150,Singaraja,ID,-8.112,115.0882,80.49,81,99,4.68,overcast clouds
151,Itaituba,BR,-4.2761,-55.9836,89.76,66,40,5.75,scattered clouds
152,Bilibino,RU,68.0546,166.4372,-2.6,96,93,3.6,overcast clouds
153,El Tigre,VE,8.8875,-64.2454,88.84,38,14,13.22,few clouds
154,Yamasaki,JP,35.0,134.55,48.34,86,95,3.91,overcast clouds
155,Svirstroy,RU,60.7999,33.7248,40.82,77,66,4.03,broken clouds
156,Pingliang,CN,35.5392,106.6861,49.1,22,33,7.43,scattered clouds
157,Tazovskiy,RU,67.4667,78.7,17.74,93,64,9.95,broken clouds
158,The Pas,CA,53.8251,-101.2541,35.62,80,100,9.22,overcast clouds
159,Talnakh,RU,69.4865,88.3972,18.21,89,100,7.74,overcast clouds
160,Pevek,RU,69.7008,170.3133,-3.78,94,45,5.46,scattered clouds
161,Vila Velha,BR,-20.3297,-40.2925,87.75,73,40,14.0,scattered clouds
162,Atbasar,KZ,51.8,68.3333,60.01,54,88,9.91,overcast clouds
163,Nouadhibou,MR,20.931,-17.0347,75.18,60,0,19.57,dust
164,Severo-Kurilsk,RU,50.6789,156.125,33.51,85,75,11.05,broken clouds
165,Launceston,AU,-41.45,147.1667,57.15,88,40,10.36,scattered clouds
166,Jacmel,HT,18.2342,-72.5347,82.24,73,99,4.23,overcast clouds
167,Asau,RO,46.4333,26.4,63.52,66,89,4.07,overcast clouds
168,Kafue,ZM,-15.7691,28.1814,64.8,64,0,2.19,clear sky
169,Progreso,MX,21.2833,-89.6667,87.12,61,0,8.59,clear sky
170,Yarmouth,US,41.7057,-70.2286,64.98,58,0,6.91,clear sky
171,Itarema,BR,-2.9248,-39.9167,85.23,66,94,12.57,overcast clouds
172,Mount Isa,AU,-20.7333,139.5,73.17,64,99,10.36,overcast clouds
173,Aklavik,CA,68.2191,-135.0107,35.6,69,20,8.05,few clouds
174,Prince Rupert,CA,54.3161,-130.3201,47.89,87,100,25.32,light rain
175,Nuevitas,CU,21.5453,-77.2644,83.89,58,4,13.06,clear sky
176,Bengkulu,ID,-3.8004,102.2655,77.2,89,100,3.78,overcast clouds
177,Impfondo,CG,1.6381,18.0667,89.13,47,34,5.19,scattered clouds
178,Morondava,MG,-20.2833,44.2833,77.41,68,0,15.48,clear sky
179,Ponta Do Sol,PT,32.6667,-17.1,72.23,56,0,1.5,clear sky
180,Hailey,US,43.5196,-114.3153,40.87,83,100,5.75,overcast clouds
181,Trelew,AR,-43.249,-65.3051,51.89,54,96,5.64,overcast clouds
182,Carora,VE,10.1755,-70.0827,92.14,37,43,4.29,scattered clouds
183,Vodnyy,RU,63.5046,53.4095,29.35,80,68,3.65,broken clouds
184,Hopeman,GB,57.7068,-3.4291,60.15,68,0,5.75,clear sky
185,Port Elizabeth,ZA,-33.918,25.5701,66.49,78,0,12.66,clear sky
186,Saint-Pierre,RE,-21.3393,55.4781,78.48,76,75,8.05,broken clouds
187,Leh,IN,34.1667,77.5833,49.78,28,1,7.29,clear sky
188,Georgetown,MY,5.4112,100.3354,84.15,88,20,2.3,few clouds
189,Bredasdorp,ZA,-34.5322,20.0403,60.64,80,0,7.72,clear sky
190,Anamur,TR,36.0751,32.8369,70.29,73,13,6.53,few clouds
191,Sosva,RU,59.1766,61.8558,35.87,87,100,11.48,overcast clouds
192,Eenhana,NA,-17.4667,16.3333,78.8,31,64,12.24,broken clouds
193,Shelbyville,US,35.4834,-86.4603,72.72,91,100,8.5,overcast clouds
194,Buala,SB,-8.145,159.5921,79.32,84,100,6.62,moderate rain
195,Jamestown,US,42.097,-79.2353,48.94,89,100,8.05,moderate rain
196,Makakilo City,US,21.3469,-158.0858,71.92,79,100,3.44,light rain
197,Chuy,UY,-33.6971,-53.4616,64.78,50,5,10.58,clear sky
198,Alcudia,ES,39.8532,3.1214,73.38,58,46,10.74,scattered clouds
199,Hun,LY,29.1268,15.9477,93.7,8,1,25.86,clear sky
200,Longyearbyen,SJ,78.2186,15.6401,15.64,53,0,6.91,clear sky
201,Iwanai,JP,42.9744,140.5089,42.85,90,64,1.99,broken clouds
202,Tuatapere,NZ,-46.1333,167.6833,48.25,93,35,5.26,scattered clouds
203,Leningradskiy,RU,69.3833,178.4167,-1.01,87,87,6.2,overcast clouds
204,Mackay,AU,-21.15,149.2,69.78,94,40,6.91,scattered clouds
205,Kyren,RU,51.6828,102.1408,51.15,42,89,3.24,overcast clouds
206,Umm Bab,QA,25.2142,50.8072,88.54,32,0,12.26,clear sky
207,Zhigansk,RU,66.7697,123.3711,10.36,94,72,9.37,broken clouds
208,Uruzgan,AF,32.8333,66.0,79.95,15,99,5.3,overcast clouds
209,Constitucion,CL,-35.3333,-72.4167,58.59,56,0,9.08,clear sky
210,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,66,40,2.3,light rain
211,Basco,PH,20.4487,121.9702,79.23,80,97,22.21,overcast clouds
212,Valparaiso,CL,-33.0393,-71.6273,64.63,67,0,10.36,clear sky
213,Port Moresby,PG,-9.4431,147.1797,76.14,90,34,6.49,scattered clouds
214,Male,MV,4.1748,73.5089,85.95,74,75,11.5,broken clouds
215,Hithadhoo,MV,-0.6,73.0833,85.91,71,76,15.48,light rain
216,Sainte-Marie,RE,-20.8968,55.5496,78.96,84,100,8.05,overcast clouds
217,Bethel,US,41.3712,-73.414,68.18,38,11,2.26,few clouds
218,Thompson,CA,55.7435,-97.8558,23.16,86,100,11.5,overcast clouds
219,Qiryat Shemona,IL,33.2073,35.5721,65.53,78,1,6.46,clear sky
220,Bereda,ES,43.2686,-7.5406,65.41,82,31,6.73,scattered clouds
221,Ostrow Wielkopolski,PL,51.655,17.8069,62.98,44,74,2.93,broken clouds
222,San Carlos,VE,9.6612,-68.5827,86.11,60,60,5.26,broken clouds
223,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,12.66,overcast clouds
224,Bandarbeyla,SO,9.4942,50.8122,84.92,76,79,10.42,broken clouds
225,Kondinskoye,RU,59.6481,67.41,41.52,54,100,6.26,overcast clouds
226,Najran,SA,17.4924,44.1277,88.45,21,29,11.45,scattered clouds
227,Nikolskoye,RU,59.7035,30.7861,48.78,60,55,5.37,broken clouds
228,Saint Paul,US,44.9444,-93.0933,47.44,92,75,10.36,broken clouds
229,Tautira,PF,-17.7333,-149.15,79.34,74,53,7.27,broken clouds
230,Marystown,CA,47.1666,-55.1483,43.05,89,100,4.09,overcast clouds
231,San Javier,ES,37.8063,-0.8374,77.58,63,0,11.99,clear sky
232,Campbell River,CA,50.0163,-125.2446,50.59,100,75,2.3,broken clouds
233,Vardo,NO,70.3705,31.1107,28.98,61,94,5.5,overcast clouds
234,Bilma,NE,18.6853,12.9164,107.4,8,58,6.4,broken clouds
235,Winnemucca,US,40.973,-117.7357,43.47,63,95,13.47,overcast clouds
236,Mahebourg,MU,-20.4081,57.7,77.29,88,40,3.44,scattered clouds
237,Ostrovnoy,RU,68.0531,39.5131,27.55,83,93,13.78,overcast clouds
238,Victoria,HK,22.2855,114.1577,64.38,93,100,5.99,moderate rain
239,Richards Bay,ZA,-28.783,32.0377,65.46,76,0,6.08,clear sky
240,Ludvika,SE,60.1496,15.1878,57.33,30,98,6.51,overcast clouds
241,Ko Samui,TH,9.5357,99.9357,83.32,77,67,12.97,broken clouds
242,Aksarka,RU,66.5606,67.7975,13.86,91,32,5.75,scattered clouds
243,Coihaique,CL,-45.5752,-72.0662,50.61,93,75,0.0,broken clouds
244,Entre Rios,BR,-11.9419,-38.0844,83.03,59,98,8.9,overcast clouds
245,Coahuayana,MX,18.7333,-103.6833,86.36,25,100,3.78,overcast clouds
246,Nador,MA,35.174,-2.9287,77.07,40,0,5.75,clear sky
247,Iqaluit,CA,63.7506,-68.5145,20.93,86,75,2.3,fog
248,Ryotsu,JP,38.0833,138.4333,47.88,86,17,4.72,few clouds
249,Pitimbu,BR,-7.4706,-34.8086,77.59,73,62,13.24,broken clouds
