City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Oranjemund,NA,-28.55,16.4333,64.29,48,0,12.95,clear sky
166,Taoudenni,ML,22.6783,-3.9836,91.81,12,0,13.78,clear sky
167,La Guardia,BO,-17.8917,-63.3305,86.04,39,1,13.29,clear sky
168,Port Lincoln,AU,-34.7333,135.8667,59.07,89,0,8.23,clear sky
169,Hithadhoo,MV,-0.6,73.0833,85.84,71,76,15.43,moderate rain
170,College,US,64.8569,-147.8028,47.21,55,75,10.36,broken clouds
171,Santa Cruz De Tenerife,ES,28.4682,-16.2546,78.58,55,0,13.8,clear sky
172,Kokstad,ZA,-30.5472,29.4241,49.37,85,0,1.54,clear sky
173,Uricani,RO,45.3373,23.1524,49.71,78,100,2.66,overcast clouds
174,Port Macquarie,AU,-31.4333,152.9167,59.9,94,63,0.0,broken clouds
175,Vila Do Maio,CV,15.1333,-23.2167,83.19,76,0,17.6,clear sky
176,Kruisfontein,ZA,-34.0033,24.7314,59.88,91,3,3.98,clear sky
177,Lolodorf,CM,3.2333,10.7333,75.15,96,58,4.32,moderate rain
178,Dargaville,NZ,-35.9333,173.8833,55.35,93,98,3.49,overcast clouds
179,Nikolskoye,RU,59.7035,30.7861,46.8,70,53,3.09,broken clouds
180,Ketchikan,US,55.3422,-131.6461,46.87,87,100,16.11,light rain
181,Narrabri,AU,-30.3167,149.7833,53.53,91,0,1.99,clear sky
182,Pasighat,IN,28.0667,95.3333,72.88,71,99,3.69,overcast clouds
183,Salo,IT,45.6086,10.531,68.32,68,59,2.59,broken clouds
184,Never,FR,46.9896,3.159,64.65,42,0,6.91,clear sky
185,Chapais,CA,49.7834,-74.8492,50.04,66,20,7.36,few clouds
186,Narsaq,GL,60.9167,-46.05,46.62,72,58,4.0,broken clouds
187,General Cepeda,MX,25.3833,-101.45,86.07,27,78,8.39,broken clouds
188,Toledo,ES,39.8333,-4.0,73.96,30,47,17.92,scattered clouds
189,Talnakh,RU,69.4865,88.3972,15.01,91,100,7.23,overcast clouds
190,Lavrentiya,RU,65.5833,-171.0,11.62,90,49,10.4,scattered clouds
191,Nenjiang,CN,49.1833,125.2167,39.06,68,29,4.05,scattered clouds
192,Guerrero Negro,MX,27.9769,-114.0611,66.27,62,8,10.67,clear sky
193,Klaksvik,FO,62.2266,-6.589,49.12,82,77,11.48,broken clouds
194,Port Hedland,AU,-20.3167,118.5667,77.05,61,91,5.75,overcast clouds
195,Edgewater,US,28.9889,-80.9023,86.0,65,40,9.22,scattered clouds
196,Amapa,BR,1.0,-52.0,79.48,88,63,4.18,broken clouds
197,Waingapu,ID,-9.6567,120.2641,78.91,85,55,8.05,broken clouds
198,Khuzdar,PK,27.7384,66.6434,86.32,20,100,13.49,overcast clouds
199,Tazovskiy,RU,67.4667,78.7,16.23,93,66,9.91,broken clouds
200,Ous,RU,60.9058,61.5186,30.47,90,100,11.65,light snow
201,Tura,IN,25.5198,90.2201,70.38,96,44,5.53,scattered clouds
202,Nampula,MZ,-15.1165,39.2666,66.0,93,23,6.15,few clouds
203,Castro,BR,-24.7911,-50.0119,72.93,65,19,8.88,few clouds
204,Bayamo,CU,20.3792,-76.6433,90.0,45,4,7.72,clear sky
205,Odweyne,SO,9.4092,45.064,72.99,75,100,6.24,moderate rain
206,Canar,EC,-2.55,-78.9333,60.84,69,92,7.07,overcast clouds
207,Puksoozero,RU,62.5903,40.6066,27.73,92,59,2.24,broken clouds
208,Lorengau,PG,-2.0226,147.2712,81.25,76,8,4.29,clear sky
209,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,65,0,16.11,clear sky
210,Cetraro,IT,39.5166,15.9416,66.24,63,98,2.19,overcast clouds
211,Ixtapa,MX,20.7,-105.2,79.83,61,75,10.36,broken clouds
212,Akranes,IS,64.3218,-22.0749,43.36,56,52,10.16,broken clouds
213,Oistins,BB,13.0667,-59.5333,86.09,70,20,18.41,few clouds
214,Lander,US,42.833,-108.7307,47.21,62,0,11.5,clear sky
215,Shimoda,JP,34.6667,138.95,53.1,85,100,11.56,overcast clouds
