City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
582,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
587,Mounana,GA,79.14,overcast clouds,-1.4085,13.1586,"Hotel y restaurante ""El Diamante"""
588,Lamu,KE,84.42,light rain,-2.2717,40.902,Lamu House
594,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
601,Salinopolis,BR,81.39,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
603,Pemba,MZ,79.5,scattered clouds,-12.974,40.5178,Guesthouse Samotina
605,Sonoita,MX,83.3,few clouds,31.85,-112.8333,Hotel internacional
606,Muisne,EC,80.98,overcast clouds,0.6,-80.0333,Quinta Samay
609,Mitsamiouli,KM,81.07,light rain,-11.3847,43.2844,Foyer ADM
622,Portel,BR,82.35,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
630,Mahibadhoo,MV,86.11,scattered clouds,3.7833,72.9667,Omadhoo Inn
631,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
632,Virginia Beach,US,77.04,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
634,Inirida,CO,84.11,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
635,Fare,PF,80.31,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
640,Hobyo,SO,85.87,light rain,5.3505,48.5268,Iftin hotel hobyo
642,Bongandanga,CD,77.99,overcast clouds,1.5,21.05,Iftin hotel hobyo
643,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
646,Tarut,SA,86.22,clear sky,26.5733,50.0369,سطحة لسحب ونقل السيارات
647,Zagora,MA,84.81,clear sky,30.3484,-5.8365,Prends Ton Temps
653,Bethlehem,BR,78.84,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard
654,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
665,Tete,MZ,78.89,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
667,Bonthe,SL,85.39,broken clouds,7.5264,-12.505,Bonthe Holiday Village
668,Harper,LR,83.91,light rain,4.375,-7.7169,Screensaver
670,Dicabisagan,PH,78.46,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
671,Kerrville,US,76.8,overcast clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
672,Acarau,BR,85.15,broken clouds,-2.8856,-40.12,castelo pizzaria
674,Sincelejo,CO,85.5,overcast clouds,9.3047,-75.3978,Hotel Arawak Plaza
677,Akyab,MM,82.17,few clouds,20.15,92.9,Hotel Memory
678,Siparia,TT,88.79,broken clouds,10.1333,-61.5,Brook Gardens
681,Paracuru,BR,86.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
684,Nizwa,OM,85.68,clear sky,22.9333,57.5333,Orient Apartments
695,Luwuk,ID,77.34,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
696,Black River,JM,85.48,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
700,Kirakira,SB,79.12,overcast clouds,-10.4544,161.9205,SanBiz Lodge
